origin_lat,origin_lng,dest_lat,dest_lng,distance_km,duration_min,hour,day_of_week
19.0021,72.819,19.0596,72.8341,7.66,10.02,22,6
19.0596,72.8341,19.1998,72.8414,19.57,18.66,14,1
19.1136,72.8491,19.0215,72.8424,12.22,10.74,20,6
19.0896,72.8656,19.0176,72.8562,11.32,11.68,3,0
19.0703,72.8692,18.9447,72.8274,21.23,19.61,15,6
19.0748,72.8826,19.0554,72.8781,4.69,7.19,6,5
19.0027,72.8025,19.0703,72.8692,11.24,10.35,8,6
18.9926,72.8291,19.0027,72.8025,6.84,8.49,11,4
19.0596,72.8341,19.0021,72.819,8.38,10.21,7,4
19.0703,72.8692,19.1334,72.913,10.58,13.29,20,3
19.0027,72.8025,19.2193,72.8378,30.71,25.31,3,1
19.0748,72.8826,19.0176,72.8562,11.36,11.78,21,2
19.0596,72.8341,19.2193,72.8378,19.36,20.25,22,1
19.0027,72.8025,19.0176,72.8562,7.55,10.45,6,0
18.9447,72.8274,18.9926,72.8291,6.25,8.55,6,6
18.9447,72.8274,19.0596,72.8341,14.74,15.71,4,3
19.1334,72.913,19.0703,72.8692,11.87,14.75,22,1
19.2193,72.8378,18.9926,72.8291,31.64,27.59,2,2
19.2193,72.8378,19.0027,72.8025,36.5,31.43,1,3
19.0596,72.8341,18.9926,72.8291,9.35,10.13,21,2
19.1998,72.8414,18.9447,72.8274,33.44,29.86,2,3
19.0215,72.8424,19.2193,72.8378,27.13,23.19,23,5
18.9926,72.8291,19.0896,72.8656,13.98,14.21,2,4
19.0021,72.819,19.2193,72.8378,30.04,27.99,13,0
19.0215,72.8424,19.0027,72.8025,9.17,10.58,15,0
19.0703,72.8692,19.0825,72.8821,2.21,2.14,6,0
19.1998,72.8414,18.9447,72.8274,33.44,29.86,23,5
19.1334,72.913,19.0021,72.819,25.22,24.5,20,5
19.0554,72.8781,19.2193,72.8378,28.47,26.0,14,1
19.0176,72.8562,19.1334,72.913,19.97,19.6,10,1
19.0825,72.8821,19.1998,72.8414,19.08,19.05,19,5
19.0748,72.8826,19.0825,72.8821,1.22,2.15,6,2
19.0176,72.8562,19.0021,72.819,6.78,7.84,1,2
19.076,72.8777,19.1334,72.913,9.52,12.91,8,2
18.9926,72.8291,19.0703,72.8692,12.42,13.09,12,3
19.0703,72.8692,18.9447,72.8274,21.23,19.61,13,5
18.9926,72.8291,19.0021,72.819,2.64,3.76,18,6
19.1334,72.913,19.076,72.8777,10.26,12.94,0,6
19.0554,72.8781,19.1688,72.8591,19.5,18.26,9,1
18.9388,72.8354,19.0027,72.8025,9.2,12.21,4,2
19.0176,72.8562,19.1136,72.8491,14.18,13.92,15,1
19.1136,72.8491,19.0596,72.8341,7.46,8.44,8,5
19.0027,72.8025,18.9926,72.8291,4.62,7.09,23,5
19.1136,72.8491,18.9926,72.8291,16.63,15.54,7,2
19.1998,72.8414,19.0554,72.8781,23.54,23.09,10,2
19.1334,72.913,19.0596,72.8341,17.02,20.52,11,4
19.2193,72.8378,19.0021,72.819,30.66,27.68,3,5
18.9926,72.8291,19.0825,72.8821,12.97,13.39,5,0
19.0703,72.8692,19.1998,72.8414,22.67,19.75,14,0
19.0021,72.819,19.0027,72.8025,5.16,5.77,23,4
19.0554,72.8781,19.1998,72.8414,25.14,23.7,8,5
18.9926,72.8291,19.0748,72.8826,12.92,14.05,0,5
19.0176,72.8562,19.2193,72.8378,29.23,25.88,10,5
19.0596,72.8341,19.0027,72.8025,14.52,14.57,0,2
19.1136,72.8491,19.0703,72.8692,9.4,8.59,9,3
19.1136,72.8491,19.0176,72.8562,14.04,13.2,10,0
19.0596,72.8341,19.1136,72.8491,7.44,8.53,8,4
19.1688,72.8591,19.0825,72.8821,15.76,12.24,11,5
18.9926,72.8291,18.9388,72.8354,6.87,8.67,14,6
19.0215,72.8424,19.0176,72.8562,2.09,2.75,22,4
19.0596,72.8341,19.0703,72.8692,5.61,6.53,16,0
19.0748,72.8826,19.0021,72.819,15.01,15.4,0,2
19.0176,72.8562,19.076,72.8777,8.62,9.43,15,3
18.9447,72.8274,19.0176,72.8562,10.64,11.78,14,2
18.9926,72.8291,19.0215,72.8424,4.57,4.92,17,6
19.0027,72.8025,19.0021,72.819,2.68,4.0,3,2
18.9388,72.8354,19.1998,72.8414,34.15,32.11,18,6
19.0215,72.8424,19.076,72.8777,8.35,9.11,11,1
19.0554,72.8781,19.0027,72.8025,15.4,16.64,17,4
19.1334,72.913,19.0215,72.8424,20.57,19.58,21,4
19.076,72.8777,19.0703,72.8692,2.24,3.37,10,5
19.0748,72.8826,19.1998,72.8414,22.01,19.58,10,1
18.9926,72.8291,18.9447,72.8274,6.06,7.71,2,0
19.0176,72.8562,19.1998,72.8414,25.89,23.58,11,3
18.9926,72.8291,19.1688,72.8591,22.72,20.37,9,0
19.1136,72.8491,19.0748,72.8826,10.09,9.49,2,0
19.1334,72.913,19.0825,72.8821,9.7,12.29,12,5
18.9447,72.8274,19.1334,72.913,28.9,28.32,1,4
19.0021,72.819,19.0215,72.8424,3.96,5.12,22,4
19.0176,72.8562,19.0596,72.8341,6.86,7.91,14,5
19.0596,72.8341,19.0554,72.8781,8.16,9.6,2,0
19.0748,72.8826,19.0596,72.8341,9.11,10.27,23,6
19.0554,72.8781,19.0896,72.8656,6.32,9.39,15,2
19.0596,72.8341,19.0748,72.8826,9.23,8.82,8,0
19.0703,72.8692,19.0176,72.8562,12.4,11.96,17,0
18.9447,72.8274,19.1136,72.8491,22.07,21.72,5,5
19.1136,72.8491,19.0703,72.8692,9.4,8.59,3,2
18.9388,72.8354,19.0215,72.8424,10.36,11.22,21,6
19.0176,72.8562,19.0021,72.819,6.78,7.84,8,4
18.9388,72.8354,19.1136,72.8491,22.44,22.45,20,2
19.0748,72.8826,19.0027,72.8025,20.85,19.15,18,4
19.0027,72.8025,19.0825,72.8821,14.73,11.91,9,0
19.2193,72.8378,19.1136,72.8491,13.81,15.12,20,1
18.9447,72.8274,19.0748,72.8826,18.33,19.62,3,1
19.0703,72.8692,19.1334,72.913,10.58,13.29,17,4
19.076,72.8777,18.9447,72.8274,19.86,18.6,19,0
19.0825,72.8821,19.0554,72.8781,5.27,7.59,20,4
19.0896,72.8656,19.1334,72.913,10.75,14.57,3,3
19.0703,72.8692,19.0554,72.8781,5.72,7.37,4,6
19.0554,72.8781,19.0215,72.8424,6.54,6.99,22,5
19.0215,72.8424,19.1998,72.8414,23.79,20.89,2,1
19.0748,72.8826,19.1334,72.913,9.6,13.29,2,0
19.1998,72.8414,19.1688,72.8591,5.85,6.75,18,2
19.0896,72.8656,19.1136,72.8491,7.0,7.97,7,3
19.0215,72.8424,19.076,72.8777,8.35,9.11,19,3
19.2193,72.8378,18.9388,72.8354,37.63,33.17,12,4
19.0027,72.8025,19.1998,72.8414,27.38,23.01,21,3
19.1688,72.8591,18.9388,72.8354,28.42,24.61,19,4
19.0554,72.8781,18.9388,72.8354,15.5,15.62,6,2
19.1334,72.913,19.0027,72.8025,29.42,29.23,11,0
18.9388,72.8354,19.0825,72.8821,18.76,19.69,5,6
19.0176,72.8562,19.0596,72.8341,6.86,7.91,20,0
18.9388,72.8354,19.0703,72.8692,18.2,19.39,1,2
19.0896,72.8656,19.0703,72.8692,3.61,5.01,4,4
19.1688,72.8591,19.0021,72.819,21.45,19.11,11,2
19.1136,72.8491,19.1998,72.8414,13.03,13.49,21,2
19.0748,72.8826,19.0021,72.819,15.01,15.4,2,2
19.0703,72.8692,19.1688,72.8591,17.03,14.3,12,1
18.9926,72.8291,19.1998,72.8414,28.36,25.82,8,6
19.0215,72.8424,19.0825,72.8821,11.15,9.79,23,5
18.9388,72.8354,19.0825,72.8821,18.76,19.69,11,1
19.1998,72.8414,19.2193,72.8378,3.01,4.65,12,1
19.0176,72.8562,18.9447,72.8274,10.26,10.6,20,3
19.1688,72.8591,18.9447,72.8274,27.6,23.66,13,2
19.076,72.8777,19.1688,72.8591,16.39,14.2,16,0
19.1998,72.8414,19.0596,72.8341,17.09,18.5,5,0
19.0825,72.8821,19.076,72.8777,1.12,1.35,18,3
19.076,72.8777,19.2193,72.8378,25.37,21.95,20,3
19.1136,72.8491,19.0176,72.8562,14.04,13.2,20,0
19.1334,72.913,19.0554,72.8781,15.1,16.19,0,6
19.1688,72.8591,19.0215,72.8424,18.02,14.22,20,3
19.1688,72.8591,19.0596,72.8341,13.79,12.99,20,1
19.0596,72.8341,19.0027,72.8025,14.52,14.57,15,2
19.0825,72.8821,19.0896,72.8656,2.62,3.73,16,4
19.0554,72.8781,18.9926,72.8291,9.5,10.03,7,0
19.0703,72.8692,19.0825,72.8821,2.21,2.14,3,6
19.0748,72.8826,19.0021,72.819,15.01,15.4,8,4
18.9447,72.8274,19.0896,72.8656,19.4,19.77,15,2
19.1998,72.8414,19.1688,72.8591,5.85,6.75,13,0
19.0703,72.8692,19.0176,72.8562,12.4,11.96,9,6
19.0748,72.8826,19.0027,72.8025,20.85,19.15,5,1
19.0021,72.819,19.2193,72.8378,30.04,27.99,2,6
18.9388,72.8354,19.0021,72.819,8.39,11.13,5,0
19.0021,72.819,19.076,72.8777,11.75,13.93,0,5
19.2193,72.8378,19.0027,72.8025,36.5,31.43,5,3
19.0703,72.8692,19.1136,72.8491,9.17,9.85,8,6
19.0703,72.8692,19.0825,72.8821,2.21,2.14,13,2
19.0748,72.8826,19.1688,72.8591,16.37,14.13,21,4
19.0825,72.8821,19.1334,72.913,9.96,11.13,11,6
18.9447,72.8274,19.0748,72.8826,18.33,19.62,4,4
19.1688,72.8591,19.0176,72.8562,19.83,16.68,22,2
19.0554,72.8781,18.9447,72.8274,14.68,14.66,23,3
19.0703,72.8692,18.9447,72.8274,21.23,19.61,11,3
19.2193,72.8378,19.0703,72.8692,24.41,20.63,22,3
19.0215,72.8424,19.1334,72.913,20.35,19.29,5,1
19.0748,72.8826,18.9926,72.8291,15.02,14.8,23,0
19.0748,72.8826,19.0554,72.8781,4.69,7.19,13,2
19.0554,72.8781,19.0176,72.8562,5.84,7.01,19,4
19.0896,72.8656,19.0825,72.8821,2.37,3.42,17,3
18.9388,72.8354,19.0896,72.8656,19.77,20.5,1,0
19.076,72.8777,18.9926,72.8291,14.68,13.97,3,0
19.0896,72.8656,19.1334,72.913,10.75,14.57,8,5
19.1334,72.913,19.1998,72.8414,18.15,20.56,22,0
19.0896,72.8656,18.9388,72.8354,19.91,19.61,3,2
19.2193,72.8378,19.0596,72.8341,19.56,20.65,9,4
18.9447,72.8274,19.0825,72.8821,18.38,18.95,21,4
19.2193,72.8378,19.1136,72.8491,13.81,15.12,11,4
19.1688,72.8591,19.1998,72.8414,6.58,7.52,16,2
19.0896,72.8656,19.0554,72.8781,6.36,9.56,12,4
18.9388,72.8354,19.0825,72.8821,18.76,19.69,16,1
19.1136,72.8491,19.076,72.8777,9.61,8.62,7,3
19.0825,72.8821,19.0596,72.8341,9.04,9.79,22,5
19.0825,72.8821,19.0215,72.8424,11.51,10.02,12,6
19.1334,72.913,19.0596,72.8341,17.02,20.52,20,0
19.0596,72.8341,19.1334,72.913,17.48,19.23,5,6
19.1998,72.8414,19.0021,72.819,27.29,25.31,7,5
19.0554,72.8781,19.0748,72.8826,4.81,7.46,12,6
19.0021,72.819,19.0748,72.8826,14.18,15.32,14,0
19.0554,72.8781,19.076,72.8777,4.38,6.45,6,1
19.0021,72.819,19.0027,72.8025,5.16,5.77,13,5
19.0596,72.8341,18.9388,72.8354,15.35,15.71,9,3
19.0027,72.8025,19.0215,72.8424,5.45,7.7,20,2
19.2193,72.8378,19.076,72.8777,24.61,20.66,14,4
19.0215,72.8424,19.0027,72.8025,9.17,10.58,23,1
19.1688,72.8591,19.0027,72.8025,27.29,22.86,12,1
19.1688,72.8591,18.9447,72.8274,27.6,23.66,21,0
19.0825,72.8821,18.9388,72.8354,20.19,20.2,4,0
19.0703,72.8692,19.0027,72.8025,21.51,19.31,15,1
19.0896,72.8656,19.1334,72.913,10.75,14.57,23,5
19.0596,72.8341,18.9447,72.8274,14.53,14.76,9,0
19.1334,72.913,19.1998,72.8414,18.15,20.56,13,3
19.0215,72.8424,19.1334,72.913,20.35,19.29,0,1
19.0176,72.8562,19.0021,72.819,6.78,7.84,19,4
18.9926,72.8291,19.0215,72.8424,4.57,4.92,12,3
19.1998,72.8414,19.0896,72.8656,18.57,16.86,1,5
19.076,72.8777,18.9388,72.8354,20.68,19.55,7,1
19.1688,72.8591,19.0027,72.8025,27.29,22.86,5,5
19.0027,72.8025,19.0176,72.8562,7.55,10.45,21,1
19.0825,72.8821,18.9926,72.8291,14.2,14.61,11,2
19.0825,72.8821,19.0703,72.8692,2.72,3.15,6,6
19.1334,72.913,19.0027,72.8025,29.42,29.23,13,0
19.1334,72.913,19.0825,72.8821,9.7,12.29,7,4
19.0748,72.8826,19.0596,72.8341,9.11,10.27,10,6
19.0027,72.8025,19.0703,72.8692,11.24,10.35,1,1
18.9447,72.8274,18.9926,72.8291,6.25,8.55,11,2
19.1998,72.8414,19.0748,72.8826,21.72,19.18,17,6
19.0748,72.8826,18.9388,72.8354,21.01,20.38,2,5
19.0176,72.8562,18.9447,72.8274,10.26,10.6,9,1
19.0176,72.8562,19.0021,72.819,6.78,7.84,7,0
19.0748,72.8826,19.1688,72.8591,16.37,14.13,8,3
19.0176,72.8562,19.0554,72.8781,5.96,6.82,13,2
19.0554,72.8781,19.1334,72.913,14.78,14.95,19,2
19.0703,72.8692,19.1136,72.8491,9.17,9.85,14,3
19.0825,72.8821,19.1998,72.8414,19.08,19.05,18,3
19.1136,72.8491,19.0748,72.8826,10.09,9.49,18,1
19.2193,72.8378,19.1998,72.8414,3.08,4.56,5,1
19.0027,72.8025,19.1334,72.913,23.11,23.06,21,4
19.0554,72.8781,18.9388,72.8354,15.5,15.62,21,0
19.0027,72.8025,19.0896,72.8656,13.0,11.4,4,1
18.9447,72.8274,19.076,72.8777,17.55,18.15,9,3
19.1688,72.8591,19.0176,72.8562,19.83,16.68,10,0
19.0176,72.8562,19.0554,72.8781,5.96,6.82,4,5
18.9388,72.8354,19.0021,72.819,8.39,11.13,18,5
18.9926,72.8291,19.0215,72.8424,4.57,4.92,23,5
19.1688,72.8591,18.9388,72.8354,28.42,24.61,8,5
19.0748,72.8826,19.1688,72.8591,16.37,14.13,15,0
19.076,72.8777,19.0748,72.8826,0.78,1.47,14,2
19.0703,72.8692,19.0021,72.819,15.67,15.56,12,6
18.9447,72.8274,19.0554,72.8781,14.89,15.54,7,3
18.9926,72.8291,19.076,72.8777,12.14,12.58,3,0
19.0703,72.8692,18.9447,72.8274,21.23,19.61,4,5
19.0021,72.819,19.0554,72.8781,10.3,11.63,5,0
18.9447,72.8274,19.1688,72.8591,28.14,25.93,20,4
19.0703,72.8692,19.0748,72.8826,2.33,2.88,8,4
19.0896,72.8656,19.0027,72.8025,18.78,17.86,9,2
19.0554,72.8781,19.1998,72.8414,25.14,23.7,14,4
19.0021,72.819,19.2193,72.8378,30.04,27.99,11,1
19.0554,72.8781,19.0748,72.8826,4.81,7.46,1,5
18.9926,72.8291,19.1136,72.8491,16.66,16.15,19,2
19.076,72.8777,19.0554,72.8781,4.35,6.36,11,4
19.0027,72.8025,19.0896,72.8656,13.0,11.4,16,0
19.1998,72.8414,18.9447,72.8274,33.44,29.86,6,2
18.9926,72.8291,19.0027,72.8025,6.84,8.49,10,0
19.0027,72.8025,18.9447,72.8274,10.05,12.58,3,5
19.0748,72.8826,19.0021,72.819,15.01,15.4,11,4
19.0176,72.8562,19.0596,72.8341,6.86,7.91,9,2
19.1334,72.913,19.0825,72.8821,9.7,12.29,17,2
19.0596,72.8341,19.1998,72.8414,19.57,18.66,9,6
19.1998,72.8414,19.0554,72.8781,23.54,23.09,17,6
19.0554,72.8781,19.0021,72.819,11.2,11.91,19,6
19.0596,72.8341,19.2193,72.8378,19.36,20.25,7,2
18.9447,72.8274,19.1136,72.8491,22.07,21.72,0,6
19.0554,72.8781,19.0215,72.8424,6.54,6.99,14,4
19.0554,72.8781,19.0896,72.8656,6.32,9.39,1,5
19.0596,72.8341,19.076,72.8777,8.74,7.95,3,4
19.0176,72.8562,19.0703,72.8692,8.9,9.94,13,0
18.9447,72.8274,19.0703,72.8692,17.83,18.66,9,2
18.9926,72.8291,19.0215,72.8424,4.57,4.92,0,2
19.1688,72.8591,19.0703,72.8692,15.2,12.07,7,4
19.0021,72.819,19.0027,72.8025,5.16,5.77,21,6
19.0748,72.8826,19.0554,72.8781,4.69,7.19,4,5
19.2193,72.8378,19.0215,72.8424,27.23,22.79,23,2
19.1136,72.8491,19.076,72.8777,9.61,8.62,13,4
19.0176,72.8562,19.076,72.8777,8.62,9.43,3,0
19.0825,72.8821,19.1136,72.8491,7.64,8.62,9,0
19.0825,72.8821,19.1998,72.8414,19.08,19.05,18,0
19.0021,72.819,19.076,72.8777,11.75,13.93,0,4
19.076,72.8777,19.1998,72.8414,22.03,19.65,22,6
19.0176,72.8562,19.0896,72.8656,11.51,11.97,18,6
19.0215,72.8424,19.1688,72.8591,18.15,15.45,13,6
19.0021,72.819,19.0176,72.8562,6.05,7.87,7,2
19.0215,72.8424,19.1998,72.8414,23.79,20.89,7,3
19.0748,72.8826,19.0021,72.819,15.01,15.4,22,2
19.1136,72.8491,19.0825,72.8821,9.97,8.75,6,1
18.9926,72.8291,18.9447,72.8274,6.06,7.71,12,4
19.0215,72.8424,19.076,72.8777,8.35,9.11,15,5
19.1688,72.8591,19.0825,72.8821,15.76,12.24,12,1
19.0021,72.819,19.1136,72.8491,14.99,16.03,21,6
19.1998,72.8414,19.0825,72.8821,21.6,18.44,11,2
19.1136,72.8491,19.0703,72.8692,9.4,8.59,8,4
18.9447,72.8274,19.1136,72.8491,22.07,21.72,5,2
19.0896,72.8656,19.0596,72.8341,5.74,7.86,20,4
19.0021,72.819,18.9926,72.8291,2.83,4.02,19,1
18.9926,72.8291,19.0176,72.8562,5.23,6.21,14,6
19.0021,72.819,19.0554,72.8781,10.3,11.63,13,0
19.0748,72.8826,19.1136,72.8491,8.18,9.85,12,2
19.1136,72.8491,19.1334,72.913,10.53,13.99,23,0
19.1136,72.8491,18.9388,72.8354,22.63,21.13,6,5
19.0176,72.8562,18.9447,72.8274,10.26,10.6,11,4
19.1688,72.8591,19.1136,72.8491,7.04,7.29,18,4
19.076,72.8777,19.1334,72.913,9.52,12.91,20,1
19.1136,72.8491,18.9447,72.8274,21.81,20.17,4,4
19.1998,72.8414,19.0748,72.8826,21.72,19.18,23,3
18.9388,72.8354,19.2193,72.8378,37.49,34.41,0,4
19.0825,72.8821,18.9447,72.8274,19.38,19.24,4,4
19.1688,72.8591,19.0748,72.8826,15.88,12.97,3,2
19.0554,72.8781,18.9926,72.8291,9.5,10.03,14,2
19.0596,72.8341,19.0554,72.8781,8.16,9.6,20,5
19.0554,72.8781,19.1688,72.8591,19.5,18.26,18,4
19.0825,72.8821,19.076,72.8777,1.12,1.35,13,0
19.0748,72.8826,18.9388,72.8354,21.01,20.38,19,1
18.9447,72.8274,18.9926,72.8291,6.25,8.55,4,4
19.076,72.8777,19.0027,72.8025,20.86,19.21,7,4
19.0215,72.8424,18.9447,72.8274,9.87,9.73,3,0
18.9388,72.8354,19.0596,72.8341,15.11,16.44,0,4
19.0027,72.8025,19.0176,72.8562,7.55,10.45,17,1
18.9447,72.8274,19.0554,72.8781,14.89,15.54,12,3
19.0825,72.8821,18.9388,72.8354,20.19,20.2,14,3
18.9926,72.8291,19.0703,72.8692,12.42,13.09,12,1
19.0896,72.8656,18.9447,72.8274,19.09,18.65,18,6
19.0176,72.8562,19.1688,72.8591,20.25,18.13,9,0
19.2193,72.8378,19.0021,72.819,30.66,27.68,9,1
19.1136,72.8491,19.0748,72.8826,10.09,9.49,12,3
19.0215,72.8424,19.0896,72.8656,9.42,9.29,7,6
19.1334,72.913,19.0748,72.8826,10.33,13.84,22,5
19.0176,72.8562,19.1136,72.8491,14.18,13.92,4,4
19.0748,72.8826,19.1688,72.8591,16.37,14.13,13,0
19.1136,72.8491,19.0748,72.8826,10.09,9.49,10,4
19.1136,72.8491,19.0703,72.8692,9.4,8.59,15,2
19.0021,72.819,19.0176,72.8562,6.05,7.87,11,1
18.9447,72.8274,19.0176,72.8562,10.64,11.78,14,4
18.9388,72.8354,19.0215,72.8424,10.36,11.22,9,0
19.0176,72.8562,18.9388,72.8354,11.07,11.55,4,5
19.1998,72.8414,19.0596,72.8341,17.09,18.5,10,0
18.9388,72.8354,19.0027,72.8025,9.2,12.21,20,2
18.9447,72.8274,19.076,72.8777,17.55,18.15,13,5
18.9447,72.8274,19.1136,72.8491,22.07,21.72,10,1
19.1136,72.8491,18.9926,72.8291,16.63,15.54,15,2
19.076,72.8777,19.2193,72.8378,25.37,21.95,0,0
19.1998,72.8414,18.9388,72.8354,34.26,30.81,4,2
18.9926,72.8291,19.0596,72.8341,9.33,10.14,17,4
18.9926,72.8291,19.0896,72.8656,13.98,14.21,5,5
19.0703,72.8692,18.9926,72.8291,16.05,14.99,21,3
19.0896,72.8656,19.0748,72.8826,2.79,4.68,22,3
19.0825,72.8821,18.9388,72.8354,20.19,20.2,20,2
19.0748,72.8826,19.0896,72.8656,2.79,4.67,0,1
19.0596,72.8341,18.9926,72.8291,9.35,10.13,0,4
18.9447,72.8274,19.0896,72.8656,19.4,19.77,17,5
19.2193,72.8378,18.9447,72.8274,36.82,32.22,3,3
19.0027,72.8025,19.0215,72.8424,5.45,7.7,18,1
19.0176,72.8562,18.9926,72.8291,5.08,5.97,14,2
19.0596,72.8341,19.0896,72.8656,7.37,7.58,23,2
19.0176,72.8562,19.0703,72.8692,8.9,9.94,11,1
19.0748,72.8826,19.0215,72.8424,11.57,10.51,18,5
19.0896,72.8656,19.076,72.8777,2.01,3.21,0,1
19.0554,72.8781,19.0021,72.819,11.2,11.91,3,5
18.9447,72.8274,19.1334,72.913,28.9,28.32,9,3
19.0703,72.8692,19.1998,72.8414,22.67,19.75,8,4
19.1998,72.8414,19.0176,72.8562,25.67,22.88,11,6
19.2193,72.8378,19.0596,72.8341,19.56,20.65,17,3
19.0554,72.8781,19.1136,72.8491,13.43,14.04,21,6
19.1998,72.8414,19.076,72.8777,21.24,18.3,4,3
19.0215,72.8424,18.9926,72.8291,4.69,5.1,6,3
18.9447,72.8274,19.0896,72.8656,19.4,19.77,3,1
19.0825,72.8821,18.9388,72.8354,20.19,20.2,13,4
19.0215,72.8424,19.1334,72.913,20.35,19.29,6,4
18.9447,72.8274,19.0896,72.8656,19.4,19.77,20,0
19.0176,72.8562,19.0027,72.8025,10.97,12.57,13,5
19.0748,72.8826,19.2193,72.8378,25.35,21.88,3,6
