distance_km,weight_kg,volume_l,urgency,hour,day_of_week,demand_score,price
4.76,22.0,60.2,normal,6,4,1.09,192.3
6.4,11.6,3.9,express,9,3,0.74,150.54
40.19,10.7,54.6,normal,3,1,0.59,334.81
30.55,21.7,69.0,same_day,19,1,0.54,473.26
7.69,4.4,21.3,express,4,0,0.9,206.7
32.16,18.3,2.3,same_day,11,4,1.5,1268.04
26.37,14.8,58.3,normal,19,4,0.78,318.61
23.78,8.6,74.7,express,4,4,0.67,359.77
32.7,4.4,7.8,normal,18,3,1.4,632.43
2.76,23.6,64.3,normal,1,5,0.75,127.32
19.69,10.0,35.0,normal,5,5,0.7,227.27
30.29,8.3,11.6,express,12,4,1.25,772.78
44.45,16.5,23.1,express,16,2,1.17,1044.83
5.05,3.8,74.3,normal,2,4,0.82,127.01
24.83,19.2,20.7,same_day,11,0,1.11,774.16
16.48,15.0,58.3,normal,17,3,0.8,237.37
31.68,10.0,25.4,normal,17,4,0.72,331.93
28.95,9.0,68.1,express,14,1,0.63,410.59
11.5,11.7,25.7,normal,22,4,1.15,248.77
15.56,17.6,64.2,express,17,3,1.42,583.06
33.16,23.2,62.9,same_day,11,3,0.6,541.83
27.4,24.1,11.1,same_day,13,5,0.77,608.9
29.56,6.5,78.1,express,14,6,0.99,644.17
35.74,21.6,64.6,normal,17,1,0.69,374.96
14.07,8.0,52.2,express,13,3,0.71,252.38
8.18,23.6,77.6,normal,11,4,1.34,312.29
8.93,19.8,15.8,express,7,6,1.32,369.21
17.71,3.5,66.7,same_day,4,1,0.72,379.44
21.7,1.1,76.7,same_day,21,0,1.22,767.87
23.65,2.0,31.6,express,10,2,0.81,388.72
30.37,24.6,51.6,normal,1,2,0.75,371.27
37.22,15.1,18.0,express,14,0,0.63,479.34
10.19,16.4,72.2,express,4,6,1.34,431.3
34.37,10.2,59.9,normal,16,4,1.1,542.29
15.37,3.7,3.3,normal,23,0,0.75,182.35
28.09,17.2,75.3,same_day,12,2,0.54,468.16
34.78,22.2,12.1,express,12,0,1.12,781.42
4.93,16.4,30.4,express,15,4,0.81,186.7
10.73,11.0,28.7,same_day,4,4,0.83,331.98
21.77,10.1,26.9,express,21,5,1.42,671.21
14.05,2.1,49.8,same_day,16,6,1.07,486.86
22.49,7.7,59.8,express,16,1,0.76,374.62
27.4,1.3,41.3,express,10,5,0.61,337.41
1.52,8.0,78.5,same_day,4,2,1.18,251.61
14.74,18.5,21.6,same_day,17,0,1.27,648.09
14.15,7.2,20.5,express,20,2,1.07,354.68
1.67,4.8,43.2,normal,12,6,1.06,106.52
21.65,22.2,23.0,same_day,3,1,0.95,595.6
22.28,13.8,59.0,express,4,0,0.58,296.58
44.3,8.4,58.0,express,6,3,0.93,803.58
13.72,2.4,38.4,normal,9,1,0.89,201.9
22.12,14.9,54.0,normal,2,0,1.14,431.22
11.92,15.4,71.0,express,11,2,0.84,311.89
14.4,21.6,17.5,same_day,8,2,1.28,657.83
15.68,7.0,19.7,express,13,6,1.28,484.15
36.87,6.7,48.7,express,5,1,1.45,1103.04
10.0,19.1,66.5,same_day,2,0,1.04,434.93
24.64,0.7,73.5,normal,20,3,1.24,452.96
14.21,4.4,65.7,express,20,3,0.8,290.0
30.19,12.8,43.7,normal,23,4,0.92,423.34
35.86,24.7,38.7,express,7,1,0.79,590.44
14.73,0.8,50.1,express,2,4,0.86,298.06
15.7,7.4,49.0,same_day,20,5,0.98,473.74
7.85,19.2,14.0,express,8,2,0.52,139.77
40.38,5.7,75.5,express,2,3,0.99,820.52
15.87,3.6,14.9,same_day,19,2,1.22,544.02
1.13,14.9,26.4,express,11,6,1.04,159.27
31.62,20.3,37.2,same_day,0,2,0.51,459.02
23.07,20.3,78.5,normal,18,2,0.65,266.48
17.32,23.8,23.5,normal,9,0,0.85,259.39
10.34,13.1,1.6,express,15,0,1.07,314.81
24.06,20.8,6.7,same_day,16,2,1.08,767.2
25.51,2.1,13.4,same_day,11,6,0.94,636.83
27.68,16.5,33.8,normal,23,2,0.73,300.09
19.31,5.6,67.5,same_day,12,4,0.98,575.31
44.73,4.5,13.9,normal,16,3,0.6,379.23
32.69,10.1,64.2,same_day,9,1,1.08,1009.49
16.2,14.1,30.4,normal,8,3,0.97,274.78
31.59,2.2,1.0,normal,8,2,1.47,610.0
35.72,22.5,67.1,express,16,0,1.01,824.6
31.84,10.8,17.3,express,5,6,0.54,336.1
11.02,4.7,14.9,express,7,5,1.06,294.21
15.19,2.7,62.0,same_day,10,6,1.35,638.6
6.71,4.7,54.9,express,20,0,1.27,300.74
32.01,9.8,44.6,normal,21,1,1.04,492.91
37.21,17.7,77.3,normal,7,6,1.06,613.91
17.73,14.7,60.1,same_day,15,3,1.31,787.88
1.49,7.5,9.3,normal,21,1,1.14,98.54
2.91,6.3,56.2,same_day,10,0,1.3,291.12
8.11,3.9,6.0,same_day,0,2,0.51,146.62
4.87,2.7,75.7,normal,1,3,1.43,227.17
40.73,8.3,52.1,normal,2,3,1.14,634.42
31.93,23.7,64.8,express,9,3,0.53,399.06
28.59,24.3,52.8,normal,20,1,0.71,330.96
38.55,12.1,51.1,normal,2,4,1.1,648.17
24.34,4.3,74.4,same_day,14,3,1.41,956.85
30.93,13.9,41.8,same_day,19,5,0.91,757.99
25.62,21.9,44.6,same_day,13,5,0.7,538.58
21.15,6.6,68.9,same_day,19,2,0.92,593.14
32.89,5.9,9.9,same_day,11,2,1.19,1037.32
13.57,1.2,77.0,express,18,4,1.41,477.0
1.05,16.8,53.5,normal,10,3,1.44,184.94
33.53,21.9,59.4,express,2,5,1.15,854.64
18.8,20.2,56.8,same_day,9,0,0.68,416.69
32.2,17.8,14.8,express,9,2,1.37,956.95
39.82,4.8,12.7,express,15,1,1.15,849.85
14.78,8.4,9.5,express,5,5,1.27,449.39
42.84,20.9,50.8,same_day,16,3,0.51,565.49
7.26,6.1,3.1,normal,13,4,1.39,204.4
5.97,11.7,5.6,express,7,2,1.07,218.64
7.26,0.9,76.2,express,17,3,0.72,172.01
43.95,12.9,12.6,same_day,8,4,0.51,560.85
41.97,1.9,49.1,express,15,6,1.15,983.68
24.52,20.4,17.8,normal,9,3,0.83,318.55
10.21,7.4,53.8,normal,10,0,0.66,136.61
38.7,8.1,77.8,normal,18,4,0.56,328.51
43.96,12.5,47.9,express,2,1,1.43,1300.05
30.07,13.1,9.3,express,15,4,0.71,436.04
13.65,23.2,47.0,normal,23,2,0.73,198.4
17.25,5.1,66.5,express,22,6,1.36,593.12
25.76,13.2,23.2,express,8,4,1.14,643.93
23.9,22.8,50.0,express,6,5,1.35,787.61
39.43,18.9,12.7,express,5,3,1.29,1002.45
33.56,9.8,26.9,same_day,5,5,0.56,468.77
29.36,0.6,51.7,normal,12,5,1.3,539.01
14.06,5.1,17.0,normal,0,4,1.44,351.53
39.65,6.5,13.3,express,0,3,1.27,968.57
40.19,4.2,15.4,normal,23,3,0.68,387.12
3.37,7.4,34.4,normal,3,6,0.78,91.71
18.38,12.3,24.4,normal,4,1,0.94,276.58
31.1,24.6,31.1,same_day,10,5,1.17,1042.48
2.78,20.5,61.0,express,15,3,1.34,296.07
33.09,2.8,75.5,same_day,22,0,0.9,804.18
18.21,20.6,10.6,express,13,3,1.14,505.89
39.56,12.4,11.6,express,17,3,1.47,1118.26
2.96,17.1,33.3,same_day,9,6,1.12,263.51
27.02,13.5,9.3,normal,12,5,1.3,549.1
23.18,15.2,77.3,same_day,4,5,0.75,512.04
19.48,9.3,80.0,express,3,6,0.75,374.84
4.21,2.4,17.7,normal,1,6,1.15,126.87
38.6,22.8,15.4,express,13,0,0.53,423.14
43.53,8.2,34.7,same_day,20,0,0.9,1001.9
44.58,1.6,31.1,normal,4,2,1.4,877.82
8.5,2.1,27.8,normal,20,4,0.76,125.12
8.17,7.9,43.8,express,0,5,0.51,133.47
18.21,17.8,61.6,normal,19,4,1.17,377.59
10.74,16.4,12.1,same_day,16,6,1.31,517.59
3.66,22.3,45.6,normal,9,2,1.17,186.88
37.53,11.9,5.2,express,16,0,0.59,429.82
7.07,4.2,16.0,same_day,7,3,1.1,312.27
7.76,8.5,14.0,normal,15,5,1.18,204.73
28.57,15.4,28.8,same_day,19,2,1.48,1197.99
44.32,2.0,7.0,express,22,3,0.95,757.95
28.52,7.8,13.6,express,9,4,1.31,728.48
40.01,1.5,10.6,express,14,1,1.17,841.73
17.34,24.8,56.0,express,14,0,1.0,451.86
23.95,6.8,45.3,normal,5,2,0.77,300.06
25.44,14.5,52.0,same_day,21,2,0.56,432.55
31.16,18.9,36.8,express,5,4,0.5,324.26
33.02,12.1,73.3,normal,20,5,1.3,679.29
13.45,17.6,76.6,express,1,6,1.04,432.38
36.95,21.7,54.9,normal,8,2,1.29,756.01
21.18,24.1,33.0,same_day,8,3,1.0,692.93
9.95,17.2,14.8,express,23,0,1.15,352.37
29.51,10.2,18.8,normal,9,0,0.93,392.42
16.85,20.7,1.8,express,6,1,0.92,372.38
19.16,17.5,19.5,normal,18,0,1.11,354.14
20.88,5.9,46.0,same_day,23,4,1.08,641.25
15.72,21.1,52.6,normal,5,3,0.86,259.21
10.52,22.6,79.9,express,19,0,0.94,348.45
43.65,4.7,45.9,normal,17,1,1.47,850.54
25.72,22.6,65.9,same_day,17,1,1.08,808.1
38.32,17.5,62.1,normal,21,6,1.12,626.56
13.59,9.7,44.6,normal,5,0,0.66,164.59
9.23,17.7,36.5,normal,15,6,1.33,296.34
34.23,24.8,10.5,express,17,4,1.21,856.86
28.76,15.3,58.0,normal,15,5,0.62,282.35
18.59,14.5,57.6,express,1,5,1.19,569.54
1.95,1.9,43.6,express,16,1,1.49,211.27
19.94,9.7,9.3,normal,4,3,1.02,312.97
40.7,6.8,35.1,same_day,13,4,1.19,1252.38
16.96,17.5,21.7,express,20,2,0.71,283.15
10.97,19.5,64.2,express,15,3,1.4,502.36
7.33,5.0,52.2,same_day,12,4,1.21,396.17
3.29,19.1,21.8,express,21,0,0.97,192.21
44.13,17.5,46.7,normal,15,4,1.23,761.65
13.54,8.7,75.4,normal,15,2,1.41,364.82
12.13,9.5,8.6,same_day,10,2,1.42,536.23
39.27,21.0,56.8,express,19,2,0.84,727.48
26.12,9.8,63.4,same_day,20,4,1.1,808.63
37.2,23.3,69.5,express,6,4,1.36,1103.71
40.05,18.9,12.1,express,3,4,1.03,857.61
15.54,20.5,77.4,normal,19,3,0.84,256.23
27.11,14.6,39.9,same_day,8,0,1.39,1100.41
1.51,19.5,46.9,normal,14,1,0.74,99.92
17.53,23.1,56.9,same_day,4,3,0.87,543.16
32.06,10.8,55.9,express,19,0,0.92,643.63
42.09,15.5,13.5,normal,23,3,0.95,549.6
36.93,17.8,78.0,normal,20,2,0.95,547.61
31.92,18.4,59.2,normal,18,2,0.89,437.11
10.5,0.9,75.6,normal,21,4,1.21,262.85
12.22,15.8,23.5,express,21,0,1.0,339.17
6.1,22.2,34.1,normal,6,6,1.3,244.05
39.37,13.9,35.3,normal,10,3,1.08,621.0
4.73,6.6,3.5,same_day,5,4,0.93,206.37
10.28,20.3,72.6,normal,20,2,1.26,329.34
14.89,10.4,49.0,express,12,6,1.35,525.66
36.89,3.0,27.6,express,15,1,0.61,458.16
19.41,15.0,55.6,same_day,19,2,1.29,818.08
25.17,1.5,18.9,same_day,13,4,0.56,372.44
3.58,21.0,73.0,express,2,1,0.82,193.98
10.94,17.4,67.5,normal,23,1,1.49,381.31
5.9,23.5,60.2,express,10,0,0.85,238.45
39.7,7.9,13.6,same_day,9,6,1.11,1060.77
26.03,21.2,11.7,express,11,1,0.64,362.49
17.89,8.3,1.4,normal,18,5,1.15,339.96
42.72,20.9,7.7,express,15,1,0.93,763.19
14.36,6.9,34.0,normal,6,5,0.7,181.93
17.34,0.9,28.3,same_day,13,6,0.8,393.63
15.59,16.8,31.5,normal,21,3,0.83,246.53
26.76,5.0,10.5,normal,8,2,0.9,349.82
40.42,21.4,12.0,normal,18,4,1.26,713.26
7.8,15.6,38.1,same_day,8,5,1.18,426.63
13.82,2.3,39.0,normal,2,4,0.75,186.1
34.01,17.5,44.5,same_day,19,3,0.95,843.33
1.52,19.0,41.1,same_day,10,5,0.89,198.7
7.0,18.8,13.8,normal,4,0,0.97,178.74
5.87,18.3,6.8,express,19,0,1.02,221.44
35.78,6.1,77.2,same_day,20,2,0.82,773.11
11.01,12.8,19.4,normal,22,1,1.01,224.42
42.22,4.9,32.3,express,2,3,0.8,628.0
16.54,10.5,15.1,same_day,17,5,0.9,461.6
2.73,16.2,78.0,normal,7,3,1.14,167.48
13.47,15.8,34.4,same_day,6,6,1.48,711.6
30.86,9.7,76.6,normal,2,3,0.95,470.36
39.78,8.4,18.7,same_day,0,2,1.2,1247.78
33.37,3.8,22.4,normal,9,3,1.18,576.13
42.69,8.5,74.4,express,9,5,1.25,1047.53
15.84,10.6,3.5,normal,17,4,1.39,366.03
7.51,16.9,62.5,express,1,5,1.09,315.66
20.08,12.8,21.5,same_day,13,6,1.23,706.5
10.94,2.9,72.2,normal,13,3,0.64,146.76
37.45,13.3,37.4,normal,2,4,0.73,393.46
3.48,5.6,55.6,normal,21,2,1.48,191.44
13.21,9.4,70.4,same_day,6,5,0.93,452.55
17.91,2.1,70.4,express,5,0,1.19,528.64
2.84,24.4,21.1,same_day,5,3,0.81,206.08
10.22,9.4,27.1,same_day,8,5,1.48,544.79
19.51,13.9,57.3,normal,20,5,0.54,186.38
34.98,14.9,72.4,express,5,0,1.18,880.26
32.66,12.1,19.0,same_day,17,4,1.26,1051.6
25.58,9.1,58.7,same_day,22,4,1.08,823.78
26.61,19.4,53.9,normal,23,0,1.11,490.23
11.45,6.2,7.7,normal,2,2,0.89,184.77
30.75,17.9,6.7,same_day,13,6,0.56,452.02
4.19,4.5,33.2,express,6,4,0.73,130.63
14.32,6.0,76.1,express,8,2,1.17,429.24
28.25,24.0,61.7,express,22,1,0.86,551.16
23.7,16.4,13.8,express,18,2,1.36,717.79
18.27,12.4,29.9,normal,22,4,0.68,203.86
42.21,15.5,79.7,express,15,2,0.77,699.08
17.54,2.9,19.5,normal,10,0,0.86,234.27
24.86,16.3,36.7,same_day,15,0,1.34,965.61
44.19,13.2,74.3,express,14,5,0.97,866.94
36.18,3.1,64.8,same_day,20,0,1.09,985.77
16.53,24.3,6.5,normal,4,6,1.43,418.02
33.7,10.1,26.9,same_day,7,5,1.28,1105.69
9.34,5.2,54.4,express,3,4,1.33,382.53
5.35,14.7,62.3,express,0,3,0.61,143.13
17.53,21.2,57.9,same_day,17,1,1.44,819.2
11.07,6.1,64.1,express,18,1,0.8,254.55
6.55,24.5,28.7,normal,12,1,0.96,182.46
40.61,10.3,28.6,express,9,6,1.18,899.18
4.63,22.2,27.7,same_day,0,1,0.51,144.01
41.84,18.8,57.8,express,1,4,0.8,716.26
39.1,11.4,54.1,normal,14,4,1.11,655.25
40.93,21.0,36.2,same_day,18,2,0.66,744.96
1.75,20.4,26.0,same_day,10,1,1.41,318.48
31.52,15.9,56.4,express,7,5,0.65,449.69
37.57,24.3,13.7,same_day,10,0,0.54,523.06
21.51,22.5,34.4,express,15,1,1.15,577.03
39.3,12.8,44.4,same_day,19,0,1.25,1262.56
15.83,21.8,32.8,normal,17,0,1.16,331.55
8.54,13.7,75.1,same_day,5,0,0.76,310.34
27.78,22.3,49.5,express,21,2,0.78,513.24
41.91,21.4,19.3,normal,11,6,1.01,600.76
18.34,3.3,39.0,express,17,4,1.37,562.28
29.82,17.4,59.5,express,4,0,0.51,321.33
21.05,21.6,40.4,express,13,3,1.15,617.52
43.25,24.1,7.6,express,5,4,0.81,701.99
15.76,5.1,36.6,same_day,19,4,0.66,315.46
31.15,14.9,75.4,normal,13,3,0.91,460.59
17.43,0.5,32.1,same_day,5,4,0.86,439.85
28.78,7.7,14.6,same_day,19,2,0.82,596.89
18.46,15.9,69.6,normal,18,3,0.53,175.2
33.85,13.1,65.0,express,21,0,0.54,401.65
19.07,9.1,62.1,normal,23,3,0.95,326.08
9.28,12.8,67.3,normal,4,3,1.21,278.48
44.47,17.7,46.5,normal,9,3,1.28,861.38
3.33,24.7,39.9,same_day,13,3,1.14,323.4
18.18,9.4,55.8,express,20,6,0.74,316.8
40.93,20.3,74.6,express,21,6,0.59,505.13
34.8,10.8,36.0,normal,13,1,0.82,419.24
29.41,11.4,72.7,same_day,15,0,1.01,877.91
2.2,21.3,3.7,express,21,6,0.53,87.76
29.26,9.9,34.4,same_day,21,3,0.87,683.6
3.74,14.4,46.5,express,2,6,0.82,164.25
1.89,4.8,65.2,express,22,5,1.3,203.73
9.93,18.8,23.9,same_day,16,6,1.49,600.31
34.05,3.4,49.9,normal,12,2,0.84,409.07
19.83,16.0,53.7,same_day,22,4,0.95,586.19
41.47,20.9,48.8,express,8,0,0.56,504.12
33.02,14.0,4.1,express,7,5,1.31,877.04
39.06,15.7,3.8,normal,9,5,0.81,446.95
43.64,16.0,34.1,same_day,3,6,0.72,841.53
44.63,14.8,18.1,normal,22,1,0.64,390.29
31.74,23.0,15.8,same_day,3,2,1.02,879.09
24.3,3.2,39.9,express,5,1,0.99,523.04
7.69,6.4,30.9,same_day,4,6,0.54,158.6
7.73,19.0,12.9,same_day,9,4,0.79,265.22
24.07,1.6,30.8,express,9,0,1.39,669.12
23.78,23.9,36.6,express,16,6,0.82,448.09
36.75,12.1,10.1,same_day,19,1,0.53,496.66
24.24,16.1,26.8,normal,7,2,1.17,429.86
14.73,22.6,54.4,normal,0,2,1.25,391.46
12.87,21.8,79.0,same_day,14,1,0.71,378.83
4.02,14.2,34.3,express,2,6,1.34,259.26
6.45,0.6,22.7,normal,22,4,1.1,154.93
31.5,2.2,14.4,express,7,6,1.35,854.96
23.64,0.6,7.2,normal,22,2,0.57,185.25
7.36,15.3,32.5,normal,12,6,1.41,264.9
32.0,22.0,47.1,normal,15,3,0.6,311.98
19.94,18.1,76.9,express,3,5,0.75,388.5
36.0,9.9,60.5,express,7,2,1.17,828.93
18.3,16.4,17.3,normal,17,4,0.56,167.38
26.99,16.5,23.6,normal,6,3,1.44,608.88
12.91,11.3,18.8,express,22,4,0.95,317.45
40.71,19.6,51.9,same_day,12,3,1.19,1315.24
8.9,11.3,39.1,express,1,6,1.07,312.09
7.17,24.2,40.6,same_day,22,0,1.32,484.0
8.31,13.0,8.5,normal,14,3,0.83,151.32
19.78,9.1,21.2,same_day,0,6,1.03,583.13
6.34,20.4,14.6,normal,2,1,1.11,202.46
31.09,10.2,64.0,normal,7,4,1.06,527.69
15.77,17.7,14.7,same_day,10,0,1.36,675.63
10.9,0.8,28.0,same_day,12,5,0.55,199.09
12.73,20.4,41.4,same_day,14,3,1.34,643.87
18.99,24.9,45.9,same_day,0,4,0.61,381.08
17.8,12.7,58.2,same_day,3,5,0.69,410.02
30.22,16.4,71.8,express,15,6,1.28,846.9
39.65,18.7,76.9,same_day,19,4,1.16,1315.61
27.24,14.6,36.1,express,0,6,1.18,719.46
6.16,2.2,56.4,express,8,0,0.74,156.05
23.93,13.1,9.4,same_day,23,4,0.98,626.63
38.25,5.2,29.5,same_day,7,6,1.14,1136.73
4.96,1.6,19.8,express,21,3,0.73,119.59
27.31,7.1,16.3,express,1,3,0.65,361.77
2.15,13.4,50.0,same_day,3,0,1.46,341.74
38.04,23.9,46.4,normal,4,0,0.88,530.44
29.64,8.6,41.0,express,4,3,1.11,663.82
5.06,11.0,73.4,same_day,13,4,1.28,405.35
27.44,3.8,22.9,same_day,7,6,0.85,616.1
39.4,5.3,63.6,normal,13,4,1.21,673.93
21.51,6.9,39.9,same_day,16,5,0.8,501.28
12.62,23.2,2.4,same_day,1,5,0.82,373.32
2.82,15.7,15.2,express,19,3,0.88,147.45
12.94,25.0,23.7,same_day,10,4,0.85,420.76
43.26,20.2,11.5,normal,6,4,0.94,592.69
22.6,21.8,3.1,same_day,0,5,1.02,690.7
7.57,12.7,59.1,express,2,4,0.54,150.67
39.53,22.8,36.8,same_day,17,4,1.09,1126.67
40.06,14.2,57.1,same_day,18,1,0.59,647.2
26.49,5.3,33.7,express,6,4,0.7,400.09
33.65,10.6,31.8,same_day,10,4,1.25,1078.1
31.85,12.6,60.4,same_day,21,2,0.9,808.25
9.4,9.7,3.7,same_day,15,3,0.52,173.25
29.61,17.4,7.3,normal,9,4,1.3,595.63
21.51,22.0,43.5,express,2,2,1.09,575.95
33.85,7.5,51.4,same_day,13,6,0.86,732.53
34.92,14.1,29.8,normal,12,3,0.96,471.24
26.41,2.7,68.3,express,8,5,0.91,492.82
20.46,1.0,34.5,normal,13,1,1.33,399.71
20.46,0.7,37.3,same_day,14,4,0.64,369.51
22.27,9.2,76.5,normal,13,6,1.4,508.98
40.91,18.3,73.8,normal,4,4,1.17,689.09
18.27,7.0,52.7,same_day,22,4,0.92,535.05
25.35,13.8,6.5,same_day,19,4,0.83,547.69
31.26,23.2,76.4,normal,13,0,0.87,428.52
27.34,20.9,8.0,express,23,6,1.19,698.46
5.91,14.4,69.6,normal,8,0,0.7,130.44
38.25,10.8,61.7,same_day,4,3,1.25,1294.06
29.42,3.2,18.2,same_day,18,0,1.43,1084.67
10.67,12.7,56.5,express,19,3,0.55,178.73
17.7,4.6,63.0,express,15,2,1.0,443.32
30.58,3.9,55.4,express,16,1,1.21,779.46
42.37,12.6,33.0,normal,21,2,0.53,327.86
27.81,24.8,12.2,same_day,10,2,0.72,565.05
14.17,24.5,66.8,normal,21,5,1.28,373.91
11.36,24.9,22.5,express,9,2,1.08,365.55
34.05,13.2,18.1,same_day,22,1,1.32,1160.78
12.91,3.1,48.9,same_day,13,5,1.08,453.71
4.21,23.7,71.8,same_day,5,0,1.03,324.2
3.68,21.8,4.5,same_day,3,6,0.82,215.17
8.4,3.9,48.2,normal,3,2,0.89,154.72
16.36,15.2,66.1,normal,0,5,0.5,158.99
22.22,15.5,39.2,normal,6,1,1.3,457.15
29.94,17.7,49.5,normal,10,0,0.62,289.5
13.19,2.3,30.1,same_day,11,3,1.3,555.28
3.56,23.0,16.9,express,15,6,1.09,227.58
42.09,24.0,20.8,normal,23,4,0.85,509.0
33.73,18.5,2.1,same_day,4,5,0.69,614.82
30.27,4.0,41.3,normal,14,2,0.89,383.65
38.02,19.7,29.5,express,11,3,1.27,1015.14
23.61,23.3,48.9,express,15,0,0.9,521.93
2.3,12.6,45.2,same_day,6,6,0.59,130.86
41.21,5.1,16.7,express,18,0,0.71,548.58
11.12,7.7,14.9,express,17,3,1.24,374.95
